#  M  <mu>       SD_mu      <t_m>      SD_t_m    <P>    SD_P    <tau>      SD_tau 
   6 2.40972e-01 3.11682e-01 2.47174e-02 4.39822e-02 0.5127 0.2502 2.45431e-02 3.49155e-02 
   8 1.55116e-01 1.97448e-01 6.87510e-03 7.86778e-03 0.4715 0.2706 1.11648e-02 8.88361e-03 
  10 1.73363e-01 2.21260e-01 9.04303e-03 2.38209e-02 0.4071 0.2871 1.22975e-02 2.39195e-02 
  12 1.61095e-01 1.64160e-01 7.31285e-03 8.79096e-03 0.2880 0.2410 1.22902e-02 1.13092e-02 
  14 1.85185e-01 1.58665e-01 7.69328e-03 1.77462e-02 0.2828 0.2296 1.21629e-02 1.39346e-02 
  16 1.79814e-01 1.61520e-01 5.14525e-03 3.48068e-03 0.2933 0.2341 9.73942e-03 7.24162e-03 
  18 1.89360e-01 1.43743e-01 5.76914e-03 4.13342e-03 0.2288 0.2383 1.08800e-02 7.42064e-03 
  20 1.91976e-01 1.50273e-01 5.63846e-03 4.68019e-03 0.1581 0.1714 1.23102e-02 1.19372e-02 
  22 1.64283e-01 1.54378e-01 7.44708e-03 1.74207e-02 0.1628 0.1410 1.15677e-02 1.58135e-02 
